FID,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE,GEOID,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,From_LatLon,To_LatLon
0,1,1,Autauga,Alabama,54571,32.500389,-86.494165,1001,1,0,5,113065.6163,-86.494165,32.500389,-85.7578133,33.30882,"32.5003889999999, -86.4941649999999","33.3088199999999, -85.7578132999999"
1,1,3,Baldwin,Alabama,182265,30.548923,-87.762381,1003,2,1,120,86260.27974,-87.762381,30.548923,-88.642037,30.391289,"30.5489229999999, -87.762381","30.391289, -88.642037"
